"id","likes_count","love_count","haha_count","wow_count","sad_count","angry_count"
"7259193379_10152684439813380",347,0,0,0,0,0
"7259193379_10152685761753380",104,0,0,0,0,0
"7259193379_10152685818053380",242,0,0,0,0,0
"7259193379_10152686274813380",208,0,0,0,0,0
"7259193379_10152698252458380",143,0,0,0,0,0
"7259193379_10152700114793380",106,0,0,0,0,0
"7259193379_10152700720003380",24,0,0,0,0,0
"7259193379_10152703615473380",32,0,0,0,0,0
"7259193379_10152710719133380",219,0,0,0,0,0
"7259193379_10152712114453380",108,0,0,0,0,0
"7259193379_10152712694983380",423,0,0,0,0,0
"7259193379_10152745125213380",231,0,0,0,0,0
"7259193379_10152754592928380",103,0,0,0,0,0
"7259193379_10152757116978380",113,0,0,0,0,0
"7259193379_10152758240168380",89,0,0,0,0,0
"7259193379_10152779876823380",40,0,0,0,0,0
"7259193379_10152795365748380",141,0,0,0,0,0
"7259193379_10152833609273380",164,0,0,0,0,0
"7259193379_10152876436788380",106,0,0,0,0,0
"7259193379_10152886968573380",205,0,0,0,0,0
"7259193379_10152905508528380",13,0,0,0,0,0
"7259193379_10152905512193380",65,0,0,0,0,0
"7259193379_10152946081338380",312,0,0,0,0,0
"7259193379_10152947172983380",451,0,0,0,0,0
"7259193379_10152947173153380",1448,0,0,0,0,0
"7259193379_10153020571463380",28,0,0,0,0,0
"7259193379_10153029000143380",169,0,0,0,0,0
"7259193379_10153032609213380",271,0,0,0,0,0
"7259193379_10153045116708380",254,0,0,0,0,0
"7259193379_10153045251178380",266,0,0,0,0,0
"7259193379_10153047385558380",231,0,0,0,0,0
"7259193379_10153049276843380",68,0,0,0,0,0
"7259193379_10153049619028380",82,0,0,0,0,0
"7259193379_10153051000273380",122,0,0,0,0,0
"7259193379_10153051060903380",119,0,0,0,0,0
"7259193379_10153051105913380",38,0,0,0,0,0
"7259193379_10153051298643380",150,0,0,0,0,0
"7259193379_10153064516183380",825,0,0,0,1,0
"7259193379_10153077749378380",55,0,0,0,0,0
"7259193379_10153119764613380",204,0,0,0,0,0
"7259193379_10153163169928380",112,0,0,0,0,0
"7259193379_10153181609008380",41,0,0,0,0,0
"7259193379_10153184814893380",50,0,0,0,0,0
"7259193379_10153194086528380",18,0,0,0,0,0
